OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-16-19,16-0254LC,050-002992,4389 - 4445 N WEAVER CT,Omniscapes,4387 Weaver Court North,"Level ""A"" site plan",M-1,05/09/2016,n/a
PZ-16-20,16-0255LC,050-002992,4389 - 4445 N WEAVER CT,Santos TVSA,4395 Weaver Court North,"Level ""A"" site plan",M-1,05/09/2016,n/a
PZ-16-21,16-0256LC,050-000362,3975 - 3975 MAIN ST,Heartland Bank,3971 Main St,Sign variance,OH-MD,Denied 6/9/16,n/a
PZ-16-24,16-0257LR,053-000020 053-000022,,Heritage Preserve,"Davis Rd & Audobon Dr - Subareas A2, A4 & A6_",Lot split,PUD (Heritage Preserve),VOID,n/a
PZ-16-22,16-0258LR,053-000020 053-000022,,Heritage Preserve - Davis Road & Audobon Ave right-of-way,Davis Rd & Audobon Dr,Lot split & Final Plat,PUD (Heritage Preserve),06/09/2016,6/27/16 (16-R-56)
PZ-16-25,16-0259LR,053-000022,,Heritage Preserve Section 3 Phase 3,"Subarea A-2, A-3, A-4, & A-6",Final Plat,PUD (Heritage Preserve),06/09/2016,6/27/16 (16-R-55 (Amd))
PZ-16-26,16-0260LR,053-000020,,Heritage Preserve Section 2 Phase 3,Subarea A-3 & A-4,Final Plat,PUD (Heritage Preserve),06/09/2016,6/27/16 (16-R-55 (Amd))
PZ-16-27,16-0261LC,050-001924 050-000108 050-000860,5227 DEXTER AVE; 5215 DEXTER AVE,One Call Lawn Care,5227 Dexter Ave,"Level ""A"" site plan",B-1,7/22/2016 9/19/2016 (Revised plan) by staff,n/a
PZ-16-29,16-0262LC,050-001322,5038 CEMETERY RD,David Stanley - Nationwide Insurance,5038 Cemetery Rd,Sign variance - setback,B-1,06/09/2016,n/a
PZ-16-23,16-0263LC,050-010842 050-010843,5000 BRITTON PW; BRITTON PW,Verizon,5000 Britton Pkwy,Final Plat,B-3,06/09/2016,6/27/2016 (16-R-54)
PZ-16-28,16-0264LR,050-006545,4949 EDWARDS FARMS RD,All About Kids Daycare,4850 Edwards Farm Rd -,Final Development Plan,PUD (Vision Development),07/14/2016,n/a
PZ-16-30,16-0265LC,050-007272,3841 PARK MILL RUN DR,Homewood Suites,3841 Park Mill Run Dr,PUD modification,PUD (Mill Run),07/14/2016,
PZ-16-31,16-0266LR,050-000270,5180 NORWICH ST,Knell residence,5180 Norwich St,Old Hilliard District Plan,OH-RD,07/14/2016,n/a
PZ-16-32,16-0267LC,050-003176 050-003233,4050 BRITTON PW,JD Power Systems,4079 Lyman Dr,Sign variance - ground signs,B-4,07/14/2016,n/a
PZ-16-37,16-0268LR,050-000252 050-000268 050-000364,Not Found,Rosnagle property (Norwich Street single family),5154 Norwich St,Old Hilliard District Plan,OH-RD,Withdrawn 8/26/16,n/a
PZ-16-33,16-0269LC,050-002080,3750 STURBRIDGE CT,The Ashford at Sturbridge,3750 Sturbridge Ct,"Lot split, PUD modification & PUD Final Development Plan",PUD (Sturbridge Court),09/08/2016,11/28/2016 (16-R-91)
PZ-16-34,16-0270LC,050-000148,3986 MAIN ST,"Dennis P. Williamson, CPA",3986 Main St,Old Hilliard District Plan,OH-MD,08/11/2016,n/a
PZ-16-35,16-0271LC,050-001488,4200 LYMAN CT,National Sign Systems,4200 Lyman Dr,Sign variance - wall signs,B-4,08/11/2016,n/a
PZ-16-36,16-0272LC,053-000020,,A.R. Building Co.,3463 Alton Darby Rd,Sign variance - ground sign,PUD (Heritage Preserve),08/11/2016,n/a
PZ-16-38,16-0273LC,050-002992,4389 - 4445 N WEAVER CT,Arctic Express,4445 Weaver Court North,Conditional use - truck sales,M-1,Denied 9/8/16,n/a
PZ-16-39,16-0274LC,050-004001,3906 - 3914 BROWN PARK RD,Hygrowponics,3914 Brown Park Dr,Sign variance - colors,B-2,08/11/2016,n/a
PZ-16-40,16-0275LR,050-002927 050-002928,2893 HILLIARD & ROME RD; HILLIARD & ROME RD,Stout property,2893 Hilliard Rome Rd,Rezoning to R-3,L-B-3,09/08/2016,11/28/2016 (16-40)
PZ-16-41,16-0276LC,053-000005,,Hilliard Middle School,2800 Walker Rd,"Conditional use - public school & Level ""B"" site plan",S-1,09/08/2016,n/a
PZ-16-42,16-0277LC,050-011217,4303 TRUEMAN BL,Hilliard Assisted Living & Memory Care,4303 Trueman Blvd,Sign variance - ground sign,PUD (Soma),09/08/2016,n/a
PZ-16-44,16-0278LC,050-003367,3930 RIDGE MILL RD,Ohio Health Auto Body Collision & Glass,3880 Fishinger Blvd 3930 Ridge Mill Dr,"Lot split, PUD final development plan",PUD (Mill Run),09/08/2016,n/a
