OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
,PZ-24-71,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-24-72,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-73,PZ-24-73,050-003030,4840 DAVIDSON RD,Hilliard Development Corporation property,4840 Davidson Rd,Rezoning to PUD,R-R,01/09/2025,2/10/2025 (Ord. 25-03)
,PZ-24-74,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-24-75,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-24-76,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-24-77,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-24-78,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-79,PZ-24-79,050-000341,4077 COLUMBIA ST,Leahy & Trout residence,4077 Columbia St,Old Hilliard District Plan,OH-MD,11/14/2024,n/a
PZ-24-80,PZ-24-80,050-009383,3690 - 3720 LACON RD,Expressway Auto Sale Inc.,3710 Lacon Rd,Conditional use - auto sales,M-1,Rejected 1/8/25 (Incomplete),n/a
PZ-24-81,PZ-24-81,053-000616 053-000019,,Alton Place Section 1 Phase 4,6700 Roberts Rd,Final Plat (Bridgeview Trace),HCD (Alton Place),12/12/2024,1/13/2025 (25-R-01)
PZ-24-82,PZ-24-82,050-000288,5105 CEMETERY RD,The Studio on Bridge Hair Salon,5105 Cemetery Rd,Sign variance - ground sign,B-1,12/12/2024,n/a
,PZ-24-83,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-24-84,PZ-24-84,050-008526 050-008260 050-008255,5988 WOODSVIEW WY; 4442 LEAP RD; ANSON DR,ACC Party Rental,Northeast corner of Anson Drive & Leap Road,PUD Modification & PUD Final Development Plan,PUD (Ansmil),Lot split: 12/12/2024 PUD Mod. & FDP: 1/9/2025,1/27/25 (25-R-06)
PZ-24-85,PZ-24-85,050-005144,4656 CEMETERY RD,Kroger,4656 Cemetery Rd,Sign variance - wall and ground signs,B-2,12/12/2024,n/a
PZ-24-86,PZ-24-86,050-003211,4199 PARKWAY LN,Chase Bank,Southwest corner of Cemetery Road & Parkway Ln,Sign variance - wall and ground signs,B-4,12/12/2024,n/a
PZ-24-87,PZ-24-87,050-011311,SCIOTO DARBY RD,Latham Park Apartments,Northwest corner of Scioto Darby Rd & Green Clover Dr,Sign variance - ground sign setback,PUD (Square at Latham Park),12/12/2024,n/a
PZ-24-88,PZ-24-88,,,Alton Place Section 1 Phase 5,,Final Plat (35 lots),HCD (Alton Place),01/09/2025,1/27/2025 (25-R-03)
PZ-24-89,PZ-24-89,050-011983,GENEROSITY WY EFG,Truepointe Retail Building G,3988 Truepointe Blvd,Final Development Plan,PUD (Soma Company),02/13/2025,n/a
PZ-24-90,PZ-24-90,050-003485,3940 LYMAN DR,LifeWise Academy & Hampton Inn & Suites,3940 Lyman Dr & 3950 Lyman Dr,Sign variance - ground sign,B-4,01/09/2025,n/a
PZ-24-91,PZ-24-91,050-009383,3690 - 3720 LACON RD,Leibrand Brown Campbell LTD property,3700 Lacon Rd,Conditional use - outdoor storage,M-1,JUL,AUG
PZ-24-92,PZ-24-92,050-009795,4786 DAVIDSON RD,Red School of Music,4786 Davidson Rd,Sign variance - ground sign,R-R,01/09/2025,n/a
PZ-24-93,PZ-24-93,050-002266,4000 PARKWAY LN,The Resolute Training Center,4000 Parkway Ln,Sign variance - wall signs,B-4,01/09/2025,n/a
PZ-24-94,PZ-24-94,050-005422,3311 - 3315 MILL MEADOW DR,Morse-Maize Family LP property,3311 - 3315 Mill Meadow Dr,PUD modification,PUD (Mill Run),01/09/2025,FEB
PZ-24-95,PZ-24-95,050-007649,3575 MAIN ST,Marathon gas station - Alfaa,3575 Main St,Sign variance - mounted & ground signs,PUD (Heritage Lakes),Rejected 12/31/24 (Incomplete),n/a
PZ-24-96,PZ-24-96,050-000866,4540 EDGEWYN AVE,Carfine Collision,4540 Edgewyn Ave,Conditional use - Vehicle repair major,M-1,02/13/2025,3/10/2025 (25-R-22)
PZ-24-97,PZ-24-97,050-009925,3931 - 3939 TRUEMAN BL,Grocery Outlet Inc.,3939 Trueman Blvd,Conditional use - grocery store,PUD (Soma Company),Withdrawn 1/13/2025,n/a
PZ-25-1,PZ-25-1,050-010596,5522 N CENTER ST,Hard Fought Fitness,5522 Center St,Conditional Use - Health & Fitness Facility,OH-RD,Withdrawn,n/a
PZ-25-2,PZ-25-2,050-002981,3854 - 3870 MAIN ST,Diwan Café,3870 Main St,Conditional use - retail,B-1,02/13/2025,3/10/2025 (25-R-23)
PZ-25-3,PZ-25-3,City of Hilliard,,Zoning Code Amendment,n/a,Zoning Code Section 1115.02 and [Child care facilities to be permitted uses in S-1 Districts],n/a,02/13/2025,3/10/2025 (Ord. 25-04)
PZ-25-4,PZ-25-4,050-000093,4071 COLUMBIA ST,Beechum residence,4071 Columbia St,Old Hilliard district plan - detached garage,OH-MD,02/13/2025,n/a
PZ-25-5,PZ-25-5,050-000144,3979 MAIN ST,Pure Beauty on Main,3979 Main St,Parking plan,OH-MD,02/13/2025,n/a
PZ-25-6,PZ-25-6,050-012677,4384 DAVIDSON RD,Brightpath,4384 Davidson Rd,Sign variance - colors,PUD (Britton Farms),03/13/2025,n/a
PZ-25-7,PZ-25-7,050-002994,4402 WEAVER CT NORTH,National Basketball Academy,4402 Weaver Ct North,Conditional Use - Health & Fitness Facility,M-1,03/13/2025,3/24/2025 (25-R-27)
PZ-25-8,PZ-25-8,053-000614,,Alton Place Commercial,6533 Roberts Rd,Lot Split / Deed transfer,HCD (Alton Place),04/10/2025,n/a
PZ-25-9,PZ-25-9,050-009795,4786 DAVIDSON RD,Red School of Music,4786 Davidson Rd,Sign variance - external illumination,R-R,04/10/2025,n/a
PZ-25-10,PZ-25-10,050-005613,5600 - 5900 SCIOTO DARBY RD,Hilliard Darby High School,4206 Leppert Rd (4200 Leppert Rd),"Conditional use - public school & Level ""B"" site plan",S-1,04/10/2025,4/28/25 (25-R-31)
PZ-25-11,PZ-25-11,050-008254,4501 DAVIDSON RD,Townes at Davidson,Southeast corner of Davidson Rd & Leap Rd,PUD Modification & PUD Final Development Plan (120 units),PUD (Ansmil),Withdrawn 4/4/2025,n/a
PZ-25-12,PZ-25-12,050-003292,4277 LYMAN DR,Arctic Express,4277 Lyman Dr,Sign variance - setback,B-4,05/08/2025,n/a
PZ-25-13,PZ-25-13,050-002812,3637 LACON RD,Gutridge,3637 Lacon Rd,Sign variance - setback,M-1,05/08/2025,n/a
PZ-25-14,PZ-25-14,050-007601,4444 DAVIDSON RD,Gibson Dental and Britton-Norwich Learning Campus,4444 Davidson Rd 4454 Davidson Rd,Sign variance - base,PUD (Britton Farms),05/08/2025,n/a
PZ-25-15,PZ-25-15,050-007624,4311 - 4345 COSGRAY RD,Herb & Mineral Magic,4323 Cosgray Rd,PUD Modification - grocery stores,PUD (Hoffman Farms),05/08/2025,
PZ-25-16,PZ-25-16,050-000275,5460 FRANKLIN ST,The Junction by Westwood Ltd,5460 Franklin St,Old Hilliard District Plan - solar panels,OH-MD,05/08/2025,n/a
PZ-25-17,PZ-25-17,050-008175,3617 HERITAGE CLUB DR,Office building,3617 Heritage Club Dr,PUD Modification - child care facility,PUD (Heritage Lakes),06/12/2025,7/14/2025 (25-R-59)
PZ-25-18,PZ-25-18,n/a,,Zoning Code Amendment,n/a,Zoning Code Section 753 - mobile food vending,n/a,05/08/2025,6/6/2025 (Ord. 25-15)
PZ-25-19,PZ-25-19,050-007649,3575 MAIN ST,Alfaa Mart,3575 Main St,Sign variance - temporary banner sign,PUD (Heritage Lakes),06/12/2025,n/a
PZ-25-20,PZ-25-20,050-008255,ANSON DR,Britton Flex Center,4653 Britton Pkwy,PUD Modification - pickleball,PUD (Ansmil),6/12/2025 Negative Rec,7/14/2025 (25-R-58)
PZ-25-21,PZ-25-21,050-010512,3993 COSGRAY RD,Hilliard Recreation & Wellness Center,3993 Cosgray Rd,Sign variance - ground sign,PUD (Hilliard Recreation & Wellness Center),06/12/2025,n/a
PZ-25-22,PZ-25-22,050-003349,4951 NORTHWEST PW,Franklin County Fairgrounds,4100 Columbia Street,"Conditional use, Level ""B"" Site Plan & Sign variance",S-1,06/12/2025,7/14/2025 (25-R-56)
PZ-25-23,PZ-25-23,27 parcels,,Alton Place,Northwest corner of Roberts Rd & Alton Darby Rd,"HCD Modification - Subareas SF1A, SF1B, R3, R4, R5, C6 & C7",HCD (Alton Place),Rejected by staff on 12/1/2025,n/a
PZ-25-24,PZ-25-24,City of Hilliard,,Zoning Code Amendment I-270 Corridor District,n/a,Zoning Code Chapter 1116 - I-270 Corridor District (I),n/a,VOID,7/14/2025 (Ord. 25-17)
PZ-25-25,PZ-25-25,050-000217,4066 MAIN ST,Cornerstone Christian Fellowship Church,4066 Main St,Old Hilliard District Plan - storage container,OH-MD,07/10/2025,n/a
PZ-25-26,PZ-25-26,050-009478,6044 PARK MEADOW LN,"Achilles Enterprises, Inc",6044 Parkmeadow Ln,"Level ""A"" Site Plan",PUD (Hoffman Farms),5/29/2025 by staff,n/a
PZ-25-27,PZ-25-27,050-002853,3600 LACON RD,Beacon Elementary School,3600 Lacon Rd,"Conditional use & Level ""B"" Site Plan",R-3,07/10/2025,8/25/2025 (25-R-64)
PZ-25-28,PZ-25-28,050-003037,4501 BRITTON PW,Norwich Elementary School,4454 Davidson Rd,"Conditional use and Level ""B"" Site Plan",S-1,07/10/2025,8/25/2025 (25-R-65)
PZ-25-29,PZ-25-29,053-001033,,Alton Place - Building D,6505 Roberts Rd,Final Development Plan modification,HCD (Alton Place),07/10/2025,n/a
PZ-25-30,PZ-25-30,053-000321,,Hill Farm II,"4427 Elliott Rd (East side of Elliott Rd 3,600 feet north of Scioto Darby Rd)",Lot split,HCD (Hill Farm II),07/10/2025,n/a
PZ-25-31,PZ-25-31,050-000540,3596 - 3600 MAIN ST,MW Properties LLC,3600 Main St,Rezoning to L-B-2,L-B-3,07/10/2025,9/8/2025 (Ord. 25-22)
PZ-25-32,PZ-25-32,050-010842,5000 BRITTON PW,Verizon,5000 Britton Pkwy,"Level ""B"" Site Plan minor changes",B-3,07/10/2025,n/a
PZ-25-33,PZ-25-33,050-000131,4057 GRANT ST,Tortilla Park,4057 Grant St,Old Hilliard District Plan,OH-MD,07/10/2025,n/a
PZ-25-34,PZ-25-34,050-003267,CEMETERY RD,Watan Café & Roastery,4510 Cemetery Rd,Sign variance,B-2,07/10/2025,n/a
PZ-25-35,PZ-25-35,050-007624,4311 - 4345 COSGRAY RD,Smoked Lick BBQ,4333 Cosgray Rd,Final Development Plan modification & sign variance,PUD (Hoffman Farms),Smoker 11/13/25 Sign variance denied 11/13/25,n/a
PZ-25-36,PZ-25-36,050-010785 050-010787 050-010788 050-010789,2470 ROBERTS RD; 2474 ROBERTS RD; 2338 ALTON DARBY CK RD; 6514 ROBERTS RD,Circle K,Northeast corner of Roberts Rd & Alton Darby Rd,Rezoning to HCD,R-1,08/14/2025,10/13/2025 (Ord. 25-23)
PZ-25-37,PZ-25-37,050-002981,3854 - 3870 MAIN ST,Diwan Café,3870 Main St,Sign variance - wall sign,B-1,07/10/2025,n/a
PZ-25-38,PZ-25-38,050-010785 050-010787 050-010788 050-010789,2470 ROBERTS RD; 2474 ROBERTS RD; 2338 ALTON DARBY CK RD; 6514 ROBERTS RD,Homewood Corporation properties,Northeast corner of Roberts Rd & Alton Darby Rd,Rezoning to HCD and Alton Place HCD modification to add property into Subarea C7,R-1,Withdrawn 7/16/2025,n/a
PZ-25-39,PZ-25-39,050-002091,4399 CEMETERY RD,Ohio Auto Care,4399 Cemetery Rd,Sign variance - ground sign,M-1,Withdrawn 9/11/2025,n/a
PZ-25-40,PZ-25-40,050-000039 050-000227,3981 MAIN ST; 3981 - 3983 MAIN ST,Twins Hookah Lounge,3981 Main St,Old Hilliard District Plan - retractable awning,OH-MD,08/14/2025,n/a
PZ-25-41,PZ-25-41,050-000029 050-000037,5266 CENTER ST; 5260 CENTER ST,Hilliard Tire Center,5266 Center St,"Level ""B"" Site Plan - parking lot expansion",OH-RD,12/11/2025,n/a
PZ-25-42,PZ-25-42,053-000006 053-000008 053-000009 053-000010 053-000011 053-000012 053-000013 053-000014 053-000015 053-000016 053-000017 053-000018 053-000019 053-000615 053-000616 053-000617,,Alton Place - Onyx & East,2717 Alton Darby Rd - Alton Place Subarea R5,"HCD Modification & Level ""B"" Site Plan",HCD (Alton Place),08/14/2025,9/8/2025 (25-R-69)
PZ-25-43,PZ-25-43,050-000141,4045 MAIN ST,Westwood Collective,4045 Main St,Old Hilliard District Plan - exterior materials & colors; garage door,OH-MD,08/15/2025,n/a
PZ-25-44,PZ-25-44,050-000358,4140 WINTERRINGER ST,White property,4140 Winterringer St,Lot Split / Deed transfer,R-2,08/15/2025,n/a
PZ-25-45,PZ-25-45,050-003266 050-003267,4490 - 4514 CEMETERY RD; CEMETERY RD,H&T Real Estate LLC property (Brown Park shopping center),Northwest corner of Cemetery Rd & Brown Park Dr,Sign variance - wall signs,B-2,09/11/2025,n/a
PZ-25-46,PZ-25-46,053-000810 053-000714,,Alton Place (Fischer Homes),Northwest corner of Roberts Rd & Sycamore Trace and Southwest corner of Bridgeview Trace and Alton Darby Rd,Sign variance - ground signs,HCD (Alton Place),09/11/2025,n/a
PZ-25-47,PZ-25-47,053-000322,,Hill Farm II,Northeast corner of Scioto Darby Rd & Langton Rd,Lot Split / Deed transfer,HCD (Hill Farm II),09/11/2025,n/a
PZ-25-48,P'Z-25-48,050-007807,5275 GLADSTONE PL,Mama's Daycare,5275 Gladstone Pl,Conditional use - Child daycare home Type A,R-2,Withdrawn,n/a
,PZ-25-49,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-25-50,P'Z-25-50,050-009794,3440 HERITAGE CLUB DR,Oasis,3440 Heritage Club Dr,Conditional use - assembly hall,B-2,10/09/2025,NOV
PZ-25-51,PZ-25-51,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-25-52,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-25-53,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-25-54,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-25-55,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-25-56,PZ-25-56,050-003039,4653 TRUEMAN BL,Advanced Drainage Systems,4024 Green Stripe Ln,Sign variance - wall sign,PUD (Soma Company),10/09/2025,n/a
PZ-25-57,PZ-25-57,050-010973 through 050-010982,4757 HALLE CR; 4760 HALLE CR,Trails Edge PUD,4745 Halle Cir,PUD Modification,PUD (Trails Edge),10/09/2025,10/27/2025 (25-R-88)
PZ-25-58,PZ-25-58,050-000092,5281 NORWICH ST,Kimes residence,5281 Norwich St,Old Hilliard District Plan,OH-RD,VOID,n/a
PZ-25-59,PZ-25-59,050-002806,4120 SCIOTO DARBY CRK,Amazon Data Services,4120 Scioto Darby Rd,"Level ""B"" Site Plan minor modification",M-1,Withdrawn 10/17/2025,n/a
PZ-25-60,PZ-25-60,050-002799,4580 CEMETERY RD,Sun Auto Tire & Service (formerly Goodyear),4580 Cemetery Rd,Sign variance - nonconforming ground sign,B-2,Denied 10/9/2025,n/a
PZ-25-61,PZ-25-61,050-011984,SCIOTO DARBY CREEK RD,Norwich Township Fire Station #84,3858 Alton Darby Rd,PUD Final Development Plan modification,PUD (Hilliard Recreation & Wellness Center),10/09/2025,n/a
,PZ-25-62,,,,,,,,
PZ-25-63,PZ-25-63,050-000188,4055 MAIN ST,Dragonfly Bookshop,4055 Norwich St #300,Sign variance - colors,OH-MD,10/09/2025,n/a
PZ-25-64,PZ-25-64,053-000321,,Hill Farm II East Section 1,4427 Elliott Rd,Final Plat (45 lots),HCD (Hill Farm II),11/13/2025,12/8/2025 (25-R-94)
PZ-25-65,PZ-25-65,050-002895,3660 PARKWAY LN,Arden Logistics Parks,3660-3700 Parkway Ln,Sign variance - wall signs,M-1,11/13/2025,n/a
PZ-25-66,PZ-25-66,050-007649,3575 MAIN ST,Alfaa Mart / Marathon gas station,3575 Main St,Sign variance - canopy and dispenser signs,PUD (Heritage Lakes),11/13/2025,n/a
PZ-25-67,PZ-25-67,053-000476,,Heritage Preserve Apartments LLC property,6631 Tanager Ln,"Level ""A"" Site Plan",PUD (Heritage Preserve),11/7/2025 by Staff,n/a
PZ-25-68,PZ-25-68,050-002994,4402 WEAVER CT NORTH,Weaver Flex LLC property,4402 Weaver Ct North,"Level ""A"" Site Plan",M-1,10/31/2025 by Staff,n/a
PZ-25-69,PZ-25-69,050-011983,GENEROSITY WY EFG,Truepointe Retail Building F Old Scratch Pizza,3998 Truepointe Blvd,PUD Final Development Plan,PUD (Soma Company),11/13/2025,n/a
PZ-25-70,PZ-25-70,050-003191,3919 PARKWAY LN,Sabe A Llano USA food truck,3919 Parkway Ln,"Level ""B"" Site Plan Minor Changes",B-4,JAN,n/a
PZ-25-71,PZ-25-71,050-001922,5863 SCIOTO DARBY RD,Wellington Village Senior Living,5863 Scioto Darby Road,Sign variance - ground sign,R-4,JAN,n/a
PZ-25-72,PZ-25-72,City of Hilliard,,Zoning Code Amendment,n/a,"Chapter 1105 - definitions, Section 1116.02(L) - signs, & Section 1116.08(g) - land uses",n/a,02/12/2026,3/23/2026 (Ord. 26-07)
PZ-25-73,PZ-25-73,050-002895,3660 PARKWAY LN,Rauland Integrated Solutions,"3670 Parkway Ln, Unit E",Conditional use - warehouse,I-FE,VOID,VOID
PZ-25-74,PZ-25-74,050-002895,3660 PARKWAY LN,Accurate Healthcare,"3670 Parkway Ln, Suite F & G",Conditional use - warehouse,I-FE,12/11/2025,JAN
PZ-25-75,PZ-25-75,050-002875,3700 PARKWAY LN,Everything But the House,"3700 Parkway Ln, Suite D & F",Conditional use - warehouse,I-FE,12/11/2025,JAN
PZ-25-76,PZ-25-76,050-002875,3700 PARKWAY LN,Northeast Battery,"3700 Parkway Ln, Suite K & L",Conditional use - warehouse,I-FE,12/11/2025,JAN
PZ-25-77,PZ-25-77,050-002875,3700 PARKWAY LN,"Baths R Us ""Where Dreams Soak In""","3700 Parkway Ln, Suite O",Conditional use - warehouse,I-FE,12/11/2025,JAN
PZ-25-78,PZ-25-78,050-002875,3700 PARKWAY LN,AVI Food Systems,"3700 Parkway Ln, Suite P & S",Conditional use - warehouse,I-FE,12/11/2025,JAN
PZ-25-79,PZ-25-79,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-25-80,PZ-25-80,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-25-81,PZ-25-81,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-25-82,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-25-83,PZ-25-83,050-004483,4714 - 4740 CEMETERY RD,Dapper'z Barbershop,4730 Cemetery Rd,Sign variance - wall sign,B-2,JAN,n/a
PZ-25-84,PZ-25-84,050-000540,3596 - 3600 MAIN ST,Kiddiecare,3600 Main St,Sign variance - wall sign,L-B-2,JAN,n/a
PZ-25-85,PZ-25-85,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-26-1,PZ-26-1,050-010785 050-010787 050-010788 050-010789,2470 ROBERTS RD; 2474 ROBERTS RD; 2338 ALTON DARBY CK RD; 6514 ROBERTS RD,Circle K,6486 Roberts Rd,"Alton Place HCD Modification and Level ""B"" Site Plan",HCD (Alton Place),HCD Mod: 5/14/26 Site Plan: Denied 5/14/26,9/14/26?
PZ-26-2,PZ-26-2,050-004914,3810 LACON RD,Environmental Management Inc.,3810 Lacon Rd,"Conditional use - outdoor storage & Level ""B"" Site Plan",M-1,02/12/2026,3/23/2026 (26-R-24)
PZ-26-3,PZ-26-3,050-011980,TRUEMAN BL UNIT BFK,Truepointe (former Battelle for Kids),4525 Wathen Drive,Sign variance - ground sign,PUD (Soma Company),03/12/2026,n/a
PZ-26-4,PZ-26-4,120-000672 120-000698 120-000714 120-000774 120-001145 120-007943,,Clover Meadows,4322 Elliott Rd,Rezoning to HCD,Rural (Twp),04/09/2026,6/8/2026 (Ord. 26-13)
PZ-26-5,PZ-26-5,050-002889 050-002888 050-003866 050-003335 050-002990 050-002991 050-002992,WEAVER CT; 4077 S WEAVER CT; 4756 NORTHWEST PW; 4770 NORTHWEST PW; 4271 WEAVER CT; 4343 N WEAVER CT; 4389 - 4445 N WEAVER CT,Weaver Court Rezoning,West side of the southernmost part of Weaver Court South; Northeast and northwest corners of Northwest Pkwy & Weaver Court North; West side of Weaver Court North.,Rezoning to M-1,I-FE,Withdrawn 2/17/2026,n/a
,PZ-26-6,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-26-7,PZ-26-7,050-000141,4045 MAIN ST,Bakes by Lo & Cyclical Nature Bicycles,4045 Main St,Old HIlliard District Plan & Graphics Variance,OH-MD,03/12/2026,n/a
PZ-26-8,PZ-26-8,050-002799,4580 CEMETERY RD,EFENDI Barber Studio,4558 Cemetery Road,Change of Use,B-2,Rejected by staff on 2/25/25 - incorrect application type,n/a
PZ-26-9,PZ-26-9,120-001332,,Brown Elementary School,2900 Walker Rd,"Conditional use & Level ""B"" Site Plan",DE,04/09/2026,4/27/2026 (26-R-44)
PZ-26-10,PZ-26-10,050-005422,3311 - 3315 MILL MEADOW DR,Fast Response,3311 Mill Meadow Dr,Sign variance - flag pole height,I-FE,Flag Poles: Denied 4/9/26 Grond sign: approved 4/9/26,n/a
PZ-26-11,PZ-26-11,City of Hilliard,,Zoning Code Amendment Chapters 1107 & 1123,n/a,Zoning Code Amendment - Conditional use approval process,n/a,03/12/2026,Tabled 4/13/2026 (Ord. 26-09)
PZ-26-12,PZ-26-12,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-26-13,PZ-26-13,050-002799,4580 CEMETERY RD,Al Sindabad Café,4562 Cemetery Rd,Sign variance - wall sign,B-2,Denied 4/9/2026,n/a
PZ-26-14,PZ-26-14,050-010512,3993 COSGRAY RD,City of Hillilard,3993 Cosgray Rd,Lot split / deed transfer,PUD (Hilliard Recreation & Wellness Center),04/09/2026,n/a
PZ-26-15,PZ-26-15,050-004799,5462 N CENTER ST,Capital Church (Makoy Center),5462 Center St,Conditional use - place of worship,OH-RD,04/09/2026,5/26/2026 (26-R-45)
PZ-26-16,PZ-26-16,050-009383,3690 - 3720 LACON RD,Prepfunds Renovations,3700 Lacon Rd,Conditional use - outdoor storage,I-FE,04/09/2026,4/27/2026 (26-R-46)
PZ-26-17,PZ-26-17,050-010193,4770 RIVER RUN DR,Hupper property,4770 River Run Dr,Lot Split / Deed transfer,PUD (River Landings),04/09/2026,n/a
PZ-26-18,PZ-26-18,050-005144,4656 CEMETERY RD,Kroger,4656 Cemetery Rd,Sign variance - ground sign,B-2,Denied 5/14/2026,n/a
PZ-26-19,PZ-26-19,050-010598,4421 RIGGINS CT,Flex Office,4421 Riggins Court,"Level ""B"" Site Plan",I-FE,04/09/2026,n/a
PZ-26-20,PZ-26-20,050-002826,4920 SCIOTO DARBY RD,Avocado Latin Food,4920 Scioto Darby Rd,"Level ""B"" Site Plan - food truck",B-2,06/11/2026,n/a
PZ-26-21,PZ-26-21,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-26-22,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-26-23,PZ-26-23,050-008255,ANSON DR,Britton Park Apartments,4451 Magnolia Way,Sign variance - ground sign,I-3,05/14/2026,n/a
PZ-26-24,PZ-26-24,050-012679,GENEROSITY WAY E,"Old Scratch Pizza - Truepointe Building ""F""",3998 Truepointe Blvd,Sign variance - wall signage,PUD (Soma Company),05/14/2026,n/a
PZ-26-25,PZ-26-25,050-012679,GENEROSITY WAY E,"Medley Kitchen - Truepointe Building ""G""",3986 Truepointe Blvd,"Level ""A"" Site Plan",PUD (Soma Company),4/14/2026 by staff,n/a
,PZ-26-26,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-26-27,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
,PZ-26-28,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-26-29,PZ-26-29,050-000096 050-000232 050-000105,4056 MAIN ST; MAIN ST,Westwood Collective (former Chase Bank site),4056 Main St,"Level ""B"" Site Plan and Conditional Use - Residential above non-residential & Restaurants > 2000 SF",OH-MD,07/09/2026,08/24/2026
PZ-26-30,PZ-26-30,050-000024,3900 LATTIMER ST,Moose Lodge,3898 Lattimer St,"Conditional use - Clubs, lodges & fraternal organizations",frank,05/14/2026,6/8/2026 (26-R-52)
PZ-26-31,PZ-26-31,050-011532,BARBEAU LN,City of Hillilard water tower,6445 Orangeberry Rd,Lot Split,PUD (The Estates at Hoffman Farms),06/11/2026,n/a
PZ-26-32,PZ-26-32,053-000616 053-000714,,Barrington School,2683 Alton Darby Rd,"HCD Development Plan Modification, Lot split & Level ""B"" Site Plan",HCD (Alton Place),06/11/2026,7/13/2026??
PZ-26-33,PZ-26-33,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-26-34,PZ-26-34,050-002579,4896 SCIOTO DARBY RD,"S&Y Tire & Auto Repair, Ltd",4896 Scioto Darby Rd,Conditional use - Vehicle repair major & vehicle repair minor,B-2,07/09/2026,08/24/2026
PZ-26-35,PZ-26-35,multiple locations,,Red Cross Blood Drive,5462 Center St,Sign variance - temporary signs,OH-MD,Withdrawn 6/3/2026,n/a
PZ-26-36,PZ-26-36,050-000039 050-000227,3981 MAIN ST; 3981 - 3983 MAIN ST,Hookah Lounge,3981 Main St,"Level ""B"" Site Plan for parking expansion",OH-MD,07/09/2026,n/a
PZ-26-37,PZ-26-37,053-000616 053-000714,,Alton Place,6700 Roberts Road,HCD Modification,HCD (Alton Place),Withdrawn 8/13/2026,AUG?
